SKU,Common Product Id,Name,Description,Sale Price,Sale Price Tax Included,MRP,Purchase Price,Purchase Price Tax Included,Tax,Quantity,Measuring Unit,Brand,Category,Sub Category,Category 1,Sub Category 1,Category 2,Sub Category 2,Barcode,Product Id,Shipping Weight,Min Quantity,Max Quantity,Show Online,HSN,Condition,Gender,Age Group,GTIN,MPN,Material,Pattern,SEO Title,SEO Description,Video Url,Summary,Size,Color,Color_Data,Image1,Image2,Image3,Image4,Image5,Image6
SKU-0003,SSK-0003,"Yellow Blooms Lilies ",,1399.0,true,1699.0,0.0,true,,0.0,,,Flowers,Above 2000,,,,,,,0.0,0.0,0.0,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/SKU-0003_0-1712341281359.jpg,https://storage.googleapis.com/shy-pub/327349/SKU-0003_1-1712341283565.jpg,https://storage.googleapis.com/shy-pub/327349/SKU-0003_2-1712341286398.jpg,,,
SKU-0004,SSK-0004,Money plant in forever with you sounds perf....,,549.0,true,749.0,0.0,true,,0.0,,My Gifts Tree,Cakes,,,,,,,money-plant-in-forever-with-you-sounds-perf,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/money-plant-in-forever-with-you-sounds-perf-1712818656200_SKU-0004_0.webp,https://storage.googleapis.com/shy-pub/327349/money-plant-in-forever-with-you-sounds-perf-1712818658242_SKU-0004_0.webp,,,,
SKU-0005,SSK-0005,Butterscotch With Red Roses Combo,,1199.0,true,1599.0,0.0,true,,0.0,,BEST CAKE HOUSE,Cakes,,,,,,,butterscotch-with-red-roses-combo,0.0,,,true,,,,,,,,,,,,,500 GM,,,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-red-roses-combo-1712818659285_SKU-0005_0.jpg,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-red-roses-combo-1712818660186_SKU-0005_0.jpg,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-red-roses-combo-1712818661693_SKU-0005_0.jpg,,,
SKU-0006,SSK-0005,Butterscotch With Red Roses Combo,,1699.0,true,1699.0,0.0,true,,0.0,,BEST CAKE HOUSE,Cakes,,,,,,,butterscotch-with-red-roses-combo,0.0,,,true,,,,,,,,,,,,,1 KG,,,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-red-roses-combo-1712818659285_SKU-0005_0.jpg,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-red-roses-combo-1712818660186_SKU-0005_0.jpg,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-red-roses-combo-1712818661693_SKU-0005_0.jpg,,,
SKU-0007,SSK-0005,Butterscotch With Red Roses Combo,,2199.0,true,2199.0,0.0,true,,0.0,,BEST CAKE HOUSE,Cakes,,,,,,,butterscotch-with-red-roses-combo,0.0,,,true,,,,,,,,,,,,,1.5 KG,,,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-red-roses-combo-1712818659285_SKU-0005_0.jpg,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-red-roses-combo-1712818660186_SKU-0005_0.jpg,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-red-roses-combo-1712818661693_SKU-0005_0.jpg,,,
SKU-0008,SSK-0005,Butterscotch With Red Roses Combo,,2699.0,true,2699.0,0.0,true,,0.0,,BEST CAKE HOUSE,Cakes,,,,,,,butterscotch-with-red-roses-combo,0.0,,,true,,,,,,,,,,,,,2 KG,,,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-red-roses-combo-1712818659285_SKU-0005_0.jpg,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-red-roses-combo-1712818660186_SKU-0005_0.jpg,https://storage.googleapis.com/shy-pub/327349/butterscotch-with-red-roses-combo-1712818661693_SKU-0005_0.jpg,,,
SKU-0009,SSK-0006,Two layer Bamboo in personalised mug han...,,699.0,true,849.0,0.0,true,,0.0,,My Gifts Tree,,,,,,,,two-layer-bamboo-in-personalised-mug-han,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/two-layer-bamboo-in-personalised-mug-han-1712818664190_SKU-0009_0.webp,https://storage.googleapis.com/shy-pub/327349/two-layer-bamboo-in-personalised-mug-han-1712818665374_SKU-0009_0.webp,https://storage.googleapis.com/shy-pub/327349/two-layer-bamboo-in-personalised-mug-han-1712818667108_SKU-0009_0.webp,,,
SKU-0010,SSK-0007,Dream Come True,,749.0,true,1099.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,dream-come-true,0.0,,,true,,,,,,,,,,,,,500 GM,,,https://storage.googleapis.com/shy-pub/327349/dream-come-true-1712818667934_SKU-0010_0.jpg,,,,,
SKU-0011,SSK-0007,Dream Come True,,1249.0,true,1249.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,dream-come-true,0.0,,,true,,,,,,,,,,,,,1 KG,,,https://storage.googleapis.com/shy-pub/327349/dream-come-true-1712818667934_SKU-0010_0.jpg,,,,,
SKU-0012,SSK-0007,Dream Come True,,1849.0,true,1849.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,dream-come-true,0.0,,,true,,,,,,,,,,,,,1.5 KG,,,https://storage.googleapis.com/shy-pub/327349/dream-come-true-1712818667934_SKU-0010_0.jpg,,,,,
