Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
your-photo-t-shirt,Your Photo T-Shirt,"<p><span>Welcome to the era of personalized gifting. Now send a personalized photo / message printed T-Shirt to your loved ones. Its special, magical and something to fall in love with.</span></p>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,450.00,599.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1570029624IMG_634-600x600.jpg?v=1714402871,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
pure-adoration,Pure Adoration,"<p>If you are a couple that cannot spend a day without each other presenc then this is the right token of love that you both should purchase. The pair of couple t shirts with the message ""Mr Right"" and ""Mrs Always Right just complement each other in a most adorable manner.</p>
<p><br></p>
<p>Product contains:</p>
<p>- A pair of couple T-Shirts with the quoted message</p>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,850.00,999.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1549608033Mr-and-Mrs_Combo_1-1-350x350.jpg?v=1714402610,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
pure-adoration,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1549608059Mrs-Always-Right-600x600.jpg?v=1714402619,2,"",,,,,,,,,,,,,,,,,,,,,,,,,
pure-adoration,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1549608075Mr-600x600.jpg?v=1714402633,3,"",,,,,,,,,,,,,,,,,,,,,,,,,
romeo-juliet-love,Romeo-Juliet Love,"<p>The bond of love and romance shared between you two is as immortal as the love saga between Romeo and Juliet. This Romeo-Juliet couple t-shirt mirrors the same romance of the legendary love. It's time to set an example by wearing this couple tshirts together and flaunt the never-ending love.</p>
<p><br></p>
<p>Product contains:</p>
<p>- A Pair of Be My Romeo-Be My Juliet Couple T-Shirt</p>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,850.00,999.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1549608856Be-my-juliet_Combo_1-1-600x600.jpg?v=1714402411,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
romeo-juliet-love,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1549608874Be-my-romeo_1-600x600.jpg?v=1714402415,2,"",,,,,,,,,,,,,,,,,,,,,,,,,
romeo-juliet-love,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1549608888Be-my-juliet_1-1-600x600.jpg?v=1714402395,3,"",,,,,,,,,,,,,,,,,,,,,,,,,
joyous-hues-t-shirt,Joyous Hues T-Shirt,<p><span>Send this cool t-shirt to the ones who are crazy enough to enjoy the spirit of Holi. It makes for a unique gift that they would love to sport not just on the day of the festival but on other occasions as well! It can be clubbed with dark-coloured denims or cotton trousers.</span><br><br><span>Product Contains:</span><br><span>- 1 Printed Cotton T-Shirt</span></p>,My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,400.00,550.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1519710403T_Shirt_4-600x600.jpg?v=1714402200,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
shades-of-joy-t-shirt,Shades Of Joy T-Shirt,"<p><span>This T-Shirt is a perfect demonstration of burst of colours - A perfect gift for Holi. Carrying a cool quote for the occasion that says, 'Holi Hai' printed alongside a colourful design reflecting the colours and spirit of Holi. Especially designed for the festival of colours, this t-shirt makes for a cool addition to your beloved's wardrobe. Add a picture and personalize this comfortable tee to complement their personality.</span><br><br><span>Product Contains:</span><br><span>- 1 Printed Cotton T-Shirt</span></p>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,400.00,550.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1519710016T_Shirt_2-600x600.jpg?v=1714401986,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
i-love-india-t-shirt,I Love India T-Shirt,"<div class=""pp-description"">
<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;This men's t-shirt looks great and is an awesome buy on the proud occasion of Independence Day. Pick and send this t-shirt to someone you know and share the proud feeling with them in the best way with this special gift.\n\nProduct Contains:\n- 1 Printed Cotton T-Shirt&quot;}"" data-sheets-userformat='{""2"":831,""3"":[null,0],""4"":[null,2,16776960],""5"":{""1"":[{""1"":2,""2"":0,""5"":[null,2,0]},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":[null,2,0]},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":[null,2,0]},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":[null,2,0]},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""11"":4,""12"":0}'>This men's t-shirt looks great and is an awesome buy on the proud occasion of Independence Day. Pick and send this t-shirt to someone you know and share the proud feeling with them in the best way with this special gift.<br><br>Product Contains:<br>- 1 Printed Cotton T-Shirt</span><br></p>
</div>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,400.00,550.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1531992216T-Shirt_3-1-600x600.jpg?v=1714401841,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
